id,nombre_rol,departamento,salario_anual_eur,anios_experiencia,pais,empresa_tipo,nivel,modalidad_trabajo,anio_registro
68,Data Analyst,Analytics,82000,8,DE,Enterprise,Lead,Híbrido,2024
69,Data Engineer,Analytics,34000,7,ES,Enterprise,Lead,Remoto,2024
70,MLOps Engineer,Product,82000,3,GB,Startup,Senior,Presencial,2022
71,MLOps Engineer,Engineering,85000,1,US,Consultora,Mid,Presencial,2024
72,MLOps Engineer,Engineering,46000,1,DE,Startup,Junior,Remoto,2023
73,Data Engineer,Research,85000,12,ES,Startup,Lead,Remoto,2023
74,Data Analyst,Data,52000,11,US,PYME,Lead,Remoto,2021
75,MLOps Engineer,Research,28000,3,GB,PYME,Lead,Presencial,2024
76,BI Developer,Product,49000,6,US,Startup,Senior,Remoto,2022
77,Data Engineer,Product,46000,7,ES,Enterprise,Lead,Presencial,2023
78,Data Engineer,Product,79000,6,NL,PYME,Lead,Híbrido,2023
79,Data Analyst,Product,49000,14,NL,Consultora,Lead,Presencial,2022
80,Data Engineer,Product,28000,14,US,PYME,Mid,Presencial,2022
